"OrderID","OrderDate","CustomerName","Email","PhoneNumber","AddressLine1","City","Country","Postcode","LoyaltyCard","CoffeeType","RoastType","Size","UnitPrice","PricePer100g","Profit","Quantity","TotalPrice","TotalProfit"
QEV-37451-860,"9/5/2019",Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,"57999 Pepper Wood Alley",Paterson,United States,"7505",Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.597,2,19.9,1.194
QEV-37451-860,"9/5/2019",Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,"57999 Pepper Wood Alley",Paterson,United States,"7505",Loyality Card,Coffee Type,Roast Type,"0.5",8.25,Price per 100g,0.9075,5,41.25,4.5375
FAA-43335-268,"6/17/2021",Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,"5214 Bartillon Park",San Antonio,United States,"78205",Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.1655,1,12.95,1.1655
KAC-83089-793,"7/15/2021",Christoffer O' Shea,N/A,+353 (698) 362-9201,"38980 Manitowish Junction",Cill Airne,Ireland,N41,Loyality Card,Coffee Type,Roast Type,"1.0",13.75,Price per 100g,1.5125,2,27.5,3.025
KAC-83089-793,"7/15/2021",Christoffer O' Shea,N/A,+353 (698) 362-9201,"38980 Manitowish Junction",Cill Airne,Ireland,N41,Loyality Card,Coffee Type,Roast Type,"2.5",27.485,Price per 100g,1.6491,2,54.97,3.2982
CVP-18956-553,"8/4/2021",Beryle Cottier,N/A,+1 (570) 289-7473,"2651 Stoughton Place",Scranton,United States,"18505",Loyality Card,Coffee Type,Roast Type,"1.0",12.95,Price per 100g,1.6835,3,38.849999999999994,5.0504999999999995
IPP-31994-879,"1/21/2022",Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,"7005 Mariners Cove Place",Dayton,United States,"45440",Loyality Card,Coffee Type,Roast Type,"0.5",7.29,Price per 100g,0.8019,3,21.87,2.4057
SNZ-65340-705,"5/20/2022",Melvin Wharfe,N/A,+353 (507) 574-3034,"7 Straubel Road",Kill,Ireland,P24,Loyality Card,Coffee Type,Roast Type,"0.2",4.755,Price per 100g,0.61815,1,4.755,0.61815
EZT-46571-659,"1/2/2019",Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,"949 Paget Parkway",Los Angeles,United States,"90045",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.3582,3,17.91,1.0746
NWQ-70061-912,"9/5/2019",Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,"1 Reinke Avenue",Los Angeles,United States,"90065",Loyality Card,Coffee Type,Roast Type,"0.5",5.97,Price per 100g,0.3582,1,5.97,0.3582
BKK-47233-845,"3/8/2021",Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,"68 High Crossing Court",San Jose,United States,"95160",Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.8955,4,39.8,3.582
VQR-01002-970,"10/28/2020",Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,"28643 Bluejay Crossing",San Jose,United States,"95194",Loyality Card,Coffee Type,Roast Type,"2.5",34.155,Price per 100g,3.75705,5,170.775,18.78525
SZW-48378-399,"7/2/2022",Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,"80915 Montana Park",Richmond,United States,"23285",Loyality Card,Coffee Type,Roast Type,"1.0",9.95,Price per 100g,0.597,5,49.75,2.985
ITA-87418-783,"5/22/2020",Terence Vanyutin,tvanyutind@wix.com,N/A,"331 Bunting Hill",Migrate,United States,"41905",Loyality Card,Coffee Type,Roast Type,"2.5",20.585,Price per 100g,1.2351,2,41.17,2.4702
GNZ-46006-527,"4/5/2022",Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,"827 Declaration Plaza",Saint Louis,United States,"63131",Loyality Card,Coffee Type,Roast Type,"0.2",3.885,Price per 100g,0.50505,3,11.655,1.51515
FYQ-78248-319,"6/7/2022",Llywellyn Oscroft,loscroftf@ebay.co.uk,N/A,"022 Roth Place",Philadelphia,United States,"19172",Loyality Card,Coffee Type,Roast Type,"2.5",22.885,Price per 100g,1.3731,5,114.42500000000001,6.8655
